Restaurant ID,Restaurant Name,Country Code,City,Address,Locality,Locality Verbose,Longitude,Latitude,Cuisines,Average Cost for two,Currency,Has Table booking,Has Online delivery,Is delivering now,Switch to order menu,Price range,Aggregate rating,Rating color,Rating text,Votes,avg_cost_for_one,Cuisine Count,Cuisines_Mean_Rating,Cuisines_Mean_Rating_Avg,Price_TableBooking
6317637,Le Petit Souffle,162,Makati City,71,"Century City Mall, Poblacion, Makati City","Century City Mall, Poblacion, Makati City, Makati City",121.027535,14.565443,"['French', 'Japanese', 'Desserts']",1100,Botswana Pula(P),1,0,0,0,3,4.8,5,5,314,3465.0,3,"[3.8620689655172415, 3.7985611510791366, 2.978866768759571]",3.5464989617853164,3
6304287,Izakaya Kikufuji,162,Makati City,67,"Little Tokyo, Legaspi Village, Makati City","Little Tokyo, Legaspi Village, Makati City, Makati City",121.014101,14.553708,['Japanese'],1200,Botswana Pula(P),1,0,0,0,3,4.5,5,5,591,3780.0,1,[3.7985611510791366],3.7985611510791366,3
6300002,Heat - Edsa Shangri-La,162,Mandaluyong City,56,"Edsa Shangri-La, Ortigas, Mandaluyong City","Edsa Shangri-La, Ortigas, Mandaluyong City, Mandaluyong City",121.056831,14.581404,"['Seafood', 'Asian', 'Filipino', 'Indian']",4000,Botswana Pula(P),1,0,0,0,4,4.4,4,4,270,12600.0,4,"[3.859322033898305, 3.815021459227468, 4.34, 3.9185714285714286]",3.9832287304243006,4
6318506,Ooma,162,Mandaluyong City,70,"SM Megamall, Ortigas, Mandaluyong City","SM Megamall, Ortigas, Mandaluyong City, Mandaluyong City",121.056475,14.585318,"['Japanese', 'Sushi']",1500,Botswana Pula(P),0,0,0,0,4,4.9,5,5,365,4725.0,2,"[3.7985611510791366, 3.9576923076923074]",3.878126729385722,0
6314302,Sambo Kojin,162,Mandaluyong City,64,"SM Megamall, Ortigas, Mandaluyong City","SM Megamall, Ortigas, Mandaluyong City, Mandaluyong City",121.057508,14.58445,"['Japanese', 'Korean']",1500,Botswana Pula(P),1,0,0,0,4,4.8,5,5,229,4725.0,2,"[3.7985611510791366, 3.6523809523809527]",3.725471051730045,4
18189371,Din Tai Fung,162,Mandaluyong City,71,"SM Megamall, Ortigas, Mandaluyong City","SM Megamall, Ortigas, Mandaluyong City, Mandaluyong City",121.056314,14.583764,['Chinese'],1000,Botswana Pula(P),0,0,0,0,3,4.4,4,4,336,3150.0,1,[2.621023765996344],2.621023765996344,0
6300781,Buffet 101,162,Pasay City,83,"SM by the Bay, Mall of Asia Complex, Pasay City","SM by the Bay, Mall of Asia Complex, Pasay City, Pasay City",120.9796667,14.53133333,"['Asian', 'European']",2000,Botswana Pula(P),1,0,0,0,4,4.0,4,4,520,6300.0,2,"[3.815021459227468, 3.9108108108108106]",3.862916135019139,4
6301290,Vikings,162,Pasay City,81,"SM by the Bay, Mall of Asia Complex, Pasay City","SM by the Bay, Mall of Asia Complex, Pasay City, Pasay City",120.9793333,14.54,"['Seafood', 'Filipino', 'Asian', 'European']",2000,Botswana Pula(P),1,0,0,0,4,4.2,4,4,677,6300.0,4,"[3.859322033898305, 4.34, 3.815021459227468, 3.9108108108108106]",3.981288575984146,4
6300010,Spiral - Sofitel Philippine Plaza Manila,162,Pasay City,69,"Sofitel Philippine Plaza Manila, Pasay City","Sofitel Philippine Plaza Manila, Pasay City, Pasay City",120.98009,14.55299,"['European', 'Asian', 'Indian']",6000,Botswana Pula(P),1,0,0,0,4,4.9,5,5,621,18900.0,3,"[3.9108108108108106, 3.815021459227468, 3.9185714285714286]",3.881467899536569,4
6314987,Locavore,162,Pasig City,67,Kapitolyo,"Kapitolyo, Pasig City",121.056532,14.572041,['Filipino'],1100,Botswana Pula(P),1,0,0,0,3,4.8,5,5,532,3465.0,1,[4.34],4.34,3
